Month,Site,Supplier,Units_Shipped,Units_Returned,Defects_Found,Inspection_Hours,Unit_Cost_USD,On_Time_Percent
2025-09,Austin,Alpha Components,1781,2,8,22.8,12.67,89.2
2025-09,Austin,Bravo Plastics,1590,8,14,15,9.85,86.3
2025-09,Austin,Cardinal Metals,1569,1,13,34.8,13.89,87.4
2025-09,Berlin,Alpha Components,1291,0,9,36.3,12.16,92.1
2025-09,Berlin,Bravo Plastics,1564,6,14,17,10.09,91.1
2025-09,Berlin,Cardinal Metals,1499,1,13,45.1,14.22,91.8
2025-09,Osaka,Alpha Components,2167,1,14,41.6,12.64,98.4
2025-09,Osaka,Bravo Plastics,1947,5,16,21.4,9.7,97.4
2025-09,Osaka,Cardinal Metals,2088,3,13,25.8,13.94,99.7
2025-09,Monterrey,Alpha Components,1226,0,9,37.3,12.36,85.8
2025-09,Monterrey,Bravo Plastics,1317,3,22,31.8,10.08,88.5
2025-09,Monterrey,Cardinal Metals,1087,2,8,22.6,14.61,85.2
2025-10,Austin,Alpha Components,1863,1,12,35,12.82,89.7
2025-10,Austin,Bravo Plastics,1645,8,20,22.4,10.12,92.6
2025-10,Austin,Cardinal Metals,1698,1,14,45.9,13.77,93.4
2025-10,Berlin,Alpha Components,1469,1,9,27.5,12.36,94.3
2025-10,Berlin,Bravo Plastics,1575,2,23,45.1,9.51,93.4
2025-10,Berlin,Cardinal Metals,1443,0,11,34.5,14.11,91
2025-10,Osaka,Alpha Components,2014,1,14,42,12.46,98.9
2025-10,Osaka,Bravo Plastics,2184,2,26,34.4,9.61,100
2025-10,Osaka,Cardinal Metals,2140,1,16,38.9,13.68,96.8
2025-10,Monterrey,Alpha Components,1302,0,12,40.6,12.08,88.7
2025-10,Monterrey,Bravo Plastics,1290,10,17,16.7,9.55,88.5
2025-10,Monterrey,Cardinal Metals,1110,1,11,31.6,14.54,81.2
2025-11,Austin,Alpha Components,1706,1,10,31.3,12.2,88.3
2025-11,Austin,Bravo Plastics,1785,3,26,30.6,9.66,100
2025-11,Austin,Cardinal Metals,1677,4,12,21.4,13.75,90.5
2025-11,Berlin,Alpha Components,1549,4,8,16.3,12.61,92.9
2025-11,Berlin,Bravo Plastics,1351,1,18,43.9,9.83,94.8
2025-11,Berlin,Cardinal Metals,1344,2,9,27.8,14.14,90.5
2025-11,Osaka,Alpha Components,2126,1,13,45.5,12.38,94.9
2025-11,Osaka,Bravo Plastics,1931,4,21,28.4,9.7,100
2025-11,Osaka,Cardinal Metals,1931,3,15,28.2,14.22,100
2025-11,Monterrey,Alpha Components,1280,1,12,43.6,12.17,92.8
2025-11,Monterrey,Bravo Plastics,1196,3,17,26.8,9.77,91.1
2025-11,Monterrey,Cardinal Metals,1268,3,11,27.5,14.66,87.7
2025-12,Austin,Alpha Components,1314,3,7,,12.87,84.7
2025-12,Austin,Bravo Plastics,1364,2,19,32.7,10.09,86.2
2025-12,Austin,Cardinal Metals,1210,4,8,16.6,14.26,87
2025-12,Berlin,Alpha Components,993,2,6,21.9,12.57,88.7
2025-12,Berlin,Bravo Plastics,1057,3,16,30.7,9.65,89.7
2025-12,Berlin,Cardinal Metals,1052,2,7,23.6,14.42,88.6
2025-12,Osaka,Alpha Components,1394,0,8,46,12.09,93.4
2025-12,Osaka,Bravo Plastics,1657,2,26,42.1,9.61,94.5
2025-12,Osaka,Cardinal Metals,1626,1,13,33.6,14.32,96.7
2025-12,Monterrey,Alpha Components,863,0,7,44,12.13,84.4
2025-12,Monterrey,Bravo Plastics,829,5,12,22.7,10,85.6
2025-12,Monterrey,Cardinal Metals,857,0,9,43,13.77,89.4
2026-01,Austin,Alpha Components,1706,5,7,14.1,12.58,91.6
2026-01,Austin,Bravo Plastics,1751,11,19,14.3,10.11,96.9
2026-01,Austin,Cardinal Metals,1873,1,17,40.7,13.82,93.8
2026-01,Berlin,Alpha Components,1547,1,11,41.5,12.21,95.2
2026-01,Berlin,Bravo Plastics,1361,2,20,39,9.78,93.2
2026-01,Berlin,Cardinal Metals,1556,1,15,45.2,14.55,93.2
2026-01,Osaka,Alpha Components,1840,3,10,24.6,12.72,99.4
2026-01,Osaka,Bravo Plastics,1938,14,22,17.5,10.09,94.2
2026-01,Osaka,Cardinal Metals,1920,2,14,28.7,14.46,97.1
2026-01,Monterrey,Alpha Components,1126,0,9,41.7,12.27,88.9
2026-01,Monterrey,Bravo Plastics,1233,2,24,45.4,10.15,95.9
2026-01,Monterrey,Cardinal Metals,1122,3,10,22.5,14.11,95
2026-02,Austin,Alpha Components,1812,1,12,33.4,12.36,90
2026-02,Austin,Bravo Plastics,1805,2,28,43.6,10,90.9
2026-02,Austin,Cardinal Metals,1817,3,14,25.7,14.33,90.7
2026-02,Berlin,Alpha Components,1533,2,9,23.6,12.38,95.5
2026-02,Berlin,Bravo Plastics,1405,8,16,18.1,10.15,92.1
2026-02,Berlin,Cardinal Metals,1466,1,11,31.5,13.96,90.1
2026-02,Osaka,Alpha Components,2004,1,12,35,12.41,97.5
2026-02,Osaka,Bravo Plastics,2196,11,27,19.4,9.86,99.2
2026-02,Osaka,Cardinal Metals,2087,1,15,40.2,14.34,97.2
2026-02,Monterrey,Alpha Components,1085,1,7,29.2,12.09,90.6
2026-02,Monterrey,Bravo Plastics,1179,9,19,20.2,9.85,88.2
2026-02,Monterrey,Cardinal Metals,1081,0,12,38.6,14.1,93.8
2026-03,Austin,Alpha Components,1620,1,12,30.6,12.24,93.9
2026-03,Austin,Bravo Plastics,1837,3,36,45.6,10.16,89.3
2026-03,Austin,Cardinal Metals,1869,1,17,37,14.5,85.9
2026-03,Berlin,Alpha Components,1503,2,8,22.3,12.58,92.7
2026-03,Berlin,Bravo Plastics,1509,2,27,34.1,9.56,93.6
2026-03,Berlin,Cardinal Metals,1381,4,8,18.4,14.36,95.6
2026-03,Osaka,Alpha Components,2117,2,10,27,12.39,97.6
2026-03,Osaka,Bravo Plastics,2197,3,36,36.3,10.03,99
2026-03,Osaka,Cardinal Metals,1984,3,11,25.3,14.52,99
2026-03,Monterrey,Alpha Components,1259,0,10,33.3,12.22,86.8
2026-03,Monterrey,Bravo Plastics,1184,6,18,24.8,9.78,90.3
2026-03,Monterrey,Cardinal Metals,1110,5,7,14.9,14.23,91.9
2026-04,Austin,Alpha Components,1569,4,8,18.3,12.07,90.5
