original,current,proposed,stable_id,mode,title
1,1,1,sid-256,DIVIDER,"From Prompts to Agents"
2,2,2,sid-257,TEACH,"One skill, two ways to work"
3,3,3,sid-258,DIVIDER,"Where this came from, and how it actually works"
4,4,4,sid-259,REFERENCE,"Four eras: rules → learning → generative → agentic"
5,5,5,sid-260,REFERENCE,"Each leap has a name — 2017 → 2026"
6,6,6,sid-261,REFERENCE,"The hardware behind model development"
7,7,7,sid-262,TEACH,"How a language model produces an answer"
8,8,8,sid-263,REFERENCE,"Tokens and practical limits"
9,9,9,sid-264,TEACH,"Context, saved history, and memory"
10,10,10,sid-265,TEACH,"Answers grounded in documents"
11,11,11,sid-266,REFERENCE,"Instructions, sources, and model adaptation"
12,12,12,sid-267,REFERENCE,"Reasoning effort and the task"
13,13,13,sid-268,REFERENCE,"Capabilities to look for in an assistant"
14,14,14,sid-269,TEACH,"Verification belongs in the task"
15,15,15,sid-270,REFERENCE,"Failure patterns and the check they need"
16,16,16,sid-271,DIVIDER,"The landscape, September 2026"
17,17,17,sid-272,REFERENCE,"A task-based way to compare assistants"
18,18,18,sid-273,REFERENCE,"January 2025: frontier ability, ~27× cheaper"
19,19,19,sid-274,TEACH,"The right workspace for the data"
20,20,20,sid-275,DIVIDER,"The craft: getting what you actually meant"
21,21,21,sid-276,TEACH,"You already write work specifications"
22,22,22,sid-277,TEACH,"Good requirements make prompts testable"
23,23,23,sid-278,TEACH,"A prompt is a small work specification"
24,24,24,sid-279,TEACH,"Useful roles describe behavior"
25,25,25,sid-280,TEACH,"Prompt elements are requirement types"
26,26,26,sid-281,TEACH,"Examples, uncertainty, and stopping"
27,27,27,sid-282,REFERENCE,"A menu of requirements for each artifact"
28,28,28,sid-283,TEACH,"The improvement loop"
29,29,29,sid-284,TEACH,"One task through the improvement loop"
30,30,30,sid-285,REFERENCE,"Prompt techniques to test on your task"
31,31,31,sid-286,REFERENCE,"A neutral rubric reduces leading feedback"
32,32,32,sid-287,REFERENCE,"A practical prompt review checklist"
33,33,33,sid-289,TEACH,"Data Analytics Exercise"
34,34,34,sid-291,DO,"Upload the Data File and Run These Two Prompts"
35,35,35,sid-292,DO,"Ask a Follow-Up Question"
36,36,36,sid-290,DO,"Add the Charts and Return the Excel File"
37,37,37,sid-294,TEACH,"Describe the Dashboard You Want"
38,38,38,sid-295,DO,"Build and Test the Dashboard"
39,39,39,sid-298,DO,"Turn the Findings into a Five-Slide Management Mock-up"
40,40,40,sid-296,TEACH,"Organize an Email Thread in Outlook"
41,41,41,sid-297,DO,"Outlook Exercise: Decisions, Actions, and Open Questions"
42,42,42,sid-357,DO,"Extract Supplier Quotes into Excel"
43,43,43,sid-358,DO,"Normalize and Compare the Supplier Quotes"
44,44,44,sid-299,DO,"Turn Reference Files into a Research Spreadsheet"
45,45,45,sid-300,DIVIDER,"From asking to delegating"
46,46,46,sid-301,TEACH,"What makes a workflow agentic?"
47,47,47,sid-302,TEACH,"ASK and DELEGATE"
48,48,48,sid-303,DO,"Discussion: which way of working fits?"
49,49,49,sid-304,REFERENCE,"The agentic brief is the anatomy, grown up to survive autonomy"
50,50,50,sid-305,TEACH,"A mission brief for bounded work"
51,51,51,sid-306,DO,"Exercise: turn the analysis into a mission brief"
52,52,52,sid-307,REFERENCE,"Choosing an environment for delegated work"
53,53,53,sid-308,TEACH,"Instructions and enforceable controls"
54,54,54,sid-309,REFERENCE,"Diagnosing a failed run"
55,55,55,sid-310,REFERENCE,"Write the brief once — the workspace remembers"
56,56,56,sid-311,DO,"Exercise: one gate and one hard check"
57,57,57,sid-312,DIVIDER,"Prompts are assets. Manage them like it."
58,58,58,sid-313,TEACH,"A useful prompt becomes a reusable asset"
59,59,59,sid-314,REFERENCE,"Where reusable prompts can live"
60,60,60,sid-315,TEACH,"A small review process for shared prompts"
61,61,61,sid-316,DO,"Exercise: save one prompt for Monday"
62,62,62,sid-317,REFERENCE,"Clarifying questions reveal missing requirements"
63,63,63,sid-318,TEACH,"The habits to carry into work"
64,64,64,sid-319,DO,"Capstone: one task, one checked result"
65,65,65,sid-320,REFERENCE,"Glossary — twenty terms that matter"
66,66,66,sid-321,REFERENCE,"Why each dial matters — the generative criteria"
67,67,67,sid-322,REFERENCE,"Why each dial matters — the agentic criteria"
68,68,68,sid-323,REFERENCE,"Sources this training is built on"
69,69,69,sid-324,REFERENCE,"Recommended reading — start practical, go deep"
70,70,70,sid-325,DIVIDER,"One task. A clear brief. A checked result."
71,71,71,sid-326,DIVIDER,"Detailed explanations and exercise keys"
72,72,72,sid-327,REFERENCE,"A prediction engine, sent to finishing school"
73,73,73,sid-328,REFERENCE,"A desk, not a filing cabinet"
74,74,74,sid-329,REFERENCE,"An open-book exam — audit the librarian"
75,75,75,sid-330,REFERENCE,"Seven parts, one body — what good looks like"
76,76,76,sid-331,REFERENCE,"Role & Task: the posture, and the question"
77,77,77,sid-332,REFERENCE,"Context & Format: the facts, and the contract"
78,78,78,sid-333,REFERENCE,"Examples — and the two one-sentence safety valves"
79,79,79,sid-334,REFERENCE,"The toolkit is a loop"
80,80,80,sid-335,REFERENCE,"Two layers, one craft"
81,81,81,sid-336,REFERENCE,"The prompt is a document, not a sentence"
82,82,82,sid-337,REFERENCE,"Five shapes — pick the one for the job"
83,83,83,sid-338,REFERENCE,"ASK for an output. DELEGATE bounded work."
84,84,84,sid-339,REFERENCE,"The mission brief: twelve blocks, each preventing a failure"
85,85,85,sid-340,REFERENCE,"One prompt, five links: data in, defensible slide out"
86,86,86,sid-341,REFERENCE,"Arms need supervision: five rules for delegating"
87,87,87,sid-342,REFERENCE,"Supplier analysis: answer key"
88,88,88,sid-343,REFERENCE,"Packaging-change conversation: messages 1–5"
89,89,89,sid-344,REFERENCE,"Packaging-change conversation: messages 6–10"
90,90,90,sid-345,REFERENCE,"Requirements writing: reference and example"
91,91,91,sid-346,REFERENCE,"Prompt elements are requirement types"
92,92,92,sid-347,REFERENCE,"Spreadsheet analysis: requirements to choose"
93,93,93,sid-348,REFERENCE,"HTML dashboards: requirements to choose"
94,94,94,sid-349,REFERENCE,"Presentations: requirements to choose"
95,95,95,sid-350,REFERENCE,"Email summaries: requirements to choose"
96,96,96,sid-351,REFERENCE,"Plain-language documents: requirements to choose"
97,97,97,sid-352,REFERENCE,"Pick what we drill next — the method transfers"
98,98,98,sid-353,REFERENCE,"Full exercise: build the supplier dashboard"
99,99,99,sid-354,REFERENCE,"Full exercise: the five-slide mock presentation"
100,100,100,sid-355,REFERENCE,"Full exercise: explain a topic clearly"
101,101,101,sid-356,REFERENCE,"The email-summary prompt, in full"
102,102,102,sid-288,REFERENCE,"Optional practice: a course-log study aid"
103,103,103,sid-293,REFERENCE,"Optional extension: compare supplier quotations"
