Part_ID,Part_Name,Segment,Use_Tier_T1to4,Supplier,Severity_S_1to10,Occurrence_O_1to10,Detection_D_1to10,Action_Priority_H_M_L,Supply_Continuity_1to5,Supplier_Maturity_1to5,B1_Fitness_For_Purpose_1to5,B2_Freshness_ColdChain_1to5,B3_Consistency_Traceability_1to5,B4_Handler_Biosafety_1to5,B5_Waste_Disposal_1to5,Gate1_Legal_Sourcing_Clear_Y_N,Gate2_Handler_Zoonoses_Controlled_Y_N,Final_Risk_Class,Key_Risk_Drivers,Mitigation_Actions,Owner,Review_Date,Re_Eval_Trigger
EX-001,Porcine bowel segment (energy-device test),Tissue,T1,Local Abattoir A,10,7,6,High,5,4,3,4,5,4,2,Y,N,CRITICAL,"V&V use with no lot traceability (B3=5); handler zoonoses uncontrolled (Gate2=N); sole source","Establish lot traceability + acceptance criteria; validate cold chain; PPE/BMBL handling protocol; qualify 2nd source",,2026-12-27,Any source change or invalid-result event
EX-002,Porcine liver (surgeon training),Tissue,T2,Local Abattoir B,7,4,5,Medium,4,3,2,3,2,4,2,Y,N,HIGH,"Handler biosafety gaps (B4=4); single source","Implement PPE + cut-discipline + BMBL practice; cold-chain SOP; qualify backup source",,2026-12-27,Adverse trend
EX-003,Custom CNC fixture,Custom,,Precision Co,8,5,3,High,4,2,,,,,,,,HIGH,"Single source; invalidates test if fails","Qualify second shop; tightened intake check",,2026-12-27,Corrective action
EX-004,Standard M3 fastener,Catalog,,Distributor X,3,2,2,Low,1,2,,,,,,,,LOW,"Commodity, interchangeable","Skip-lot; catalog reorder",,2027-06-27,Periodic
,,,,,,,,,,,,,,,,,,,,,,
# Segment = Tissue | Custom | Catalog. Use_Tier (tissue only) = T1 V&V/test data | T2 Training | T3 R&D | T4 Demo (section 2).,,,,,,,,,,,,,,,,,,,,,,
# Leave B1-B5 and Gate columns blank for non-tissue parts.,,,,,,,,,,,,,,,,,,,,,,
# Scores: S/O/D = 1-10 (section 3). Procurement & Layer B = 1-5 where 5 = highest risk (sections 4 & 7). B3 weights heaviest for T1.,,,,,,,,,,,,,,,,,,,,,,
# Action_Priority derived per section 5. Final_Risk_Class derived per section 6.1 (highest triggered class).,,,,,,,,,,,,,,,,,,,,,,
# Gate1 (legal sourcing/reportable disease) must be Y or part = CRITICAL/do-not-source. Gate2 (handler zoonoses) = N escalates class.,,,,,,,,,,,,,,,,,,,,,,
