Date,Event,Part A,Part B,Boxes,Pallets to KWE,Notes
2026-07-08,Pratt PO-1 placed,500,450,175,,MOQ held in Richmond + first box order; in stock 2026-07-22
2026-07-22,Go-live delivery to KWE,200,180,175,8,First release of every part together — peak footprint
2026-08-26,Box PO placed,,,175,,2-week lead; arrives 2026-09-09
2026-09-09,Box delivery to KWE,,,175,2,
2026-09-10,Part B release to KWE,,180,,2,Richmond B after: 90
2026-09-16,Part A release to KWE,200,,,4,Richmond A after: 100
2026-10-18,Box PO placed,,,175,,2-week lead; arrives 2026-11-01
2026-10-28,Pratt PO-2 placed,500,450,,,MOQ for Richmond hold; in stock 2026-11-25
2026-11-01,Box delivery to KWE,,,175,2,
2026-11-04,Part B release to KWE,,90,,1,Richmond B after: 0 (partial)
2026-11-16,Part A release to KWE,100,,,2,Richmond A after: 0 (partial)
2026-12-09,Part B release to KWE,,180,,2,Richmond B after: 270
2026-12-10,Box PO placed,,,175,,2-week lead; arrives 2026-12-24
2026-12-16,Part A release to KWE,200,,,4,Richmond A after: 300
2026-12-24,Box delivery to KWE,,,175,2,
2027-01-25,Part B release to KWE,,180,,2,Richmond B after: 90
2027-02-01,Box PO placed,,,175,,2-week lead; arrives 2027-02-15
2027-02-15,Part A release to KWE,200,,,4,Richmond A after: 100
2027-02-15,Box delivery to KWE,,,175,2,
2027-03-14,Pratt PO-3 placed,500,450,,,MOQ for Richmond hold; in stock 2027-04-11
2027-03-21,Part B release to KWE,,90,,1,Richmond B after: 0 (partial)
2027-03-27,Box PO placed,,,175,,2-week lead; arrives 2027-04-10
2027-04-10,Box delivery to KWE,,,175,2,
2027-04-17,Part A release to KWE,100,,,2,Richmond A after: 500 (partial)
2027-04-25,Part B release to KWE,,180,,2,Richmond B after: 270
2027-05-18,Part A release to KWE,200,,,4,Richmond A after: 300
2027-05-19,Box PO placed,,,175,,2-week lead; arrives 2027-06-02
2027-06-02,Box delivery to KWE,,,175,2,
2027-06-11,Part B release to KWE,,180,,2,Richmond B after: 90
2027-07-11,Box PO placed,,,175,,2-week lead; arrives 2027-07-25
2027-07-18,Part A release to KWE,200,,,4,Richmond A after: 100
2027-07-25,Box delivery to KWE,,,175,2,
